mapping	gene_id	old_locus_tag	gene_name	gene_name_synonym	product	product_kegg	baseMean	log2FoldChange	lfcSE	lfc_MAP	lfcSE_MAP	stat	pvalue	padj	weight	gene_biotype	note
NC_013716.1	ROD_RS07870	ROD_15801	NA	NA	GntR family transcriptional regulator	GntR-family transcriptional regulator	373.255405807155	-1.78105547690047	0.153074505219518	-1.75092141290491	0.15418467475578	-11.6352195576026	2.72887043593914e-31	7.4775639093578e-29	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS08460	ROD_17041	pspA	NA	phage shock protein PspA	phage shock protein A	3090.24319606998	0.848912336674726	0.0787758057654423	0.834909055096843	0.0793852058328642	10.7763078831893	4.4540650686154e-27	1.17617066987653e-24	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS14685	ROD_29781	escD	sctD	type III secretion system inner membrane ring subunit SctD	T3SS structural protein EscD	8671.36493126866	0.72851172321646	0.0685727419690007	0.717509270519157	0.069066261477898	10.6239258092639	2.3065223262355e-26	5.18032551927792e-24	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS06610	ROD_13241	katE	NA	catalase HPII	catalase HPII	461.171559099925	-1.56421551226902	0.15189734577491	-1.53512146570261	0.153698350398365	-10.2978462479981	7.20564850753959e-25	1.52315297300119e-22	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS14705	ROD_29841	cesT	NA	type III secretion system LEE chaperone CesT	T3SS chaperone CesT	27079.4123890767	0.651150104612642	0.06462563593284	0.640490747213166	0.0651367351399412	10.0757245203642	7.0737506823123e-24	1.55661886957667e-21	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS21090	ROD_42771	bcsC	NA	cellulose biosynthesis protein BcsC	cellulose synthase operon protein C (TPR-repeat-containing protein)	3395.68156098819	-0.736299000956764	0.0756090896959371	-0.721598851269197	0.0762792772069518	-9.73823390703155	2.07122618080163e-22	4.3179635616311e-20	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS14680	ROD_29771	sepL	NA	TyeA family type III secretion system gatekeeper subunit	T3SS secretion switching protein SepL	8770.75608747008	0.692237371510275	0.0720011479802143	0.678286099349988	0.0726557440022441	9.61425464633563	6.96116731964959e-22	1.25075269551108e-19	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS04465	ROD_08811	poxB	NA	ubiquinone-dependent pyruvate dehydrogenase	pyruvate oxidase	302.801716640983	-1.56649251650474	0.165090379172956	-1.53133980240472	0.166922085682365	-9.48869658154707	2.33941034810335e-21	4.0031925742128e-19	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS21080	ROD_42751	bcsB	NA	cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB	cyclic di-GMP-binding protein (cellulose synthase regulator subunit B)	3229.2331084378	-0.718938683377338	0.0771115104232828	-0.703212583883989	0.0778518567590447	-9.32336404034778	1.12708855957577e-20	1.96535321565399e-18	1.25461538461538	protein_coding	NA
NC_013718.1	ROD_RS25410	ROD_p2361	NA	NA	YadA-like family protein	putative exported protein	522.477537099988	1.26266643857938	0.13737086529895	1.23306888606814	0.139121029761879	9.19166109809041	3.86821099750318e-20	6.45189917902531e-18	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS11930	ROD_24121	talA	tal	transaldolase	transaldolase A	217.474944550889	-2.08512238271764	0.230390526945136	-2.0318235654351	0.235543271129118	-9.05038245437142	1.424684594875e-19	2.30710634908743e-17	1.23838514528629	protein_coding	NA
NC_013716.1	ROD_RS17070	ROD_34651	gltP	NA	glutamate/aspartate:proton symporter GltP	proton glutamate symport protein	1237.22659079024	0.965951277055714	0.107398211440243	0.942824925932301	0.108782808681884	8.99410953033589	2.38154911399957e-19	2.80345718774786e-17	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS08510	ROD_17141	pdeR	NA	cyclic di-GMP phosphodiesterase	putative signal transduction protein	1091.28740771321	-0.944902918138049	0.105726072415756	-0.921376134659338	0.107044769348388	-8.93727437847424	3.98887049378707e-19	4.51492960185975e-17	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS14445	ROD_29201	NA	NA	fimbrillin MatB	putative fimbrial protein	400.928949196318	-1.37453362116449	0.153402948860847	-1.34195318445515	0.155444618087719	-8.96028160717653	3.23850260848723e-19	4.66166021367004e-17	1.23838514528629	protein_coding	NA
NC_013716.1	ROD_RS05730	ROD_11421	flgK	NA	flagellar hook-associated protein FlgK	flagellar hook-associated protein 1	188.749835305484	2.24174802461077	0.252134298520658	2.1834199193683	0.257866109723781	8.8910871617377	6.05138848906935e-19	8.31073050004666e-17	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS14765	ROD_29981	escJ	NA	type III secretion system LEE inner membrane ring protein EscJ	T3SS structural protein EscJ	8979.79520719976	0.61329346012915	0.0700843849457537	0.598120402650866	0.070786660805566	8.75078607886547	2.11871670032639e-18	2.8027227895457e-16	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS14775	ROD_30001	escC	NA	type III secretion system LEE outer membrane ring protein EscC	T3SS structural protein EscC	10563.7791634405	0.580748721640873	0.0667646852737095	0.566238355739422	0.0674217259224219	8.69844168754824	3.3647263471762e-18	4.19561210220815e-16	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS20050	ROD_40401	hslS	ibpB	heat shock chaperone IbpB	small heat shock protein B	782.662427998842	-1.2094217806202	0.139536279383775	-1.17613760464384	0.142029323678431	-8.66743606724567	4.41959657781726e-18	4.19561210220815e-16	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS02565	ROD_05091	NA	NA	YbaY family lipoprotein	putative exported protein	885.647970079921	-0.984307449783111	0.114065792194527	-0.958212482660054	0.115598934281652	-8.62929569721028	6.17309102233644e-18	5.67710722648058e-16	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS14675	ROD_29761	espA	NA	type III secretion system LEE translocon filament protein EspA	T3SS translocator protein EspA	105519.688467941	0.553565891983097	0.0642240831708949	0.525416133244512	0.064963994304763	8.61928835184933	6.73715032409446e-18	6.00809363637302e-16	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS14650	ROD_29711	NA	NA	EscG/YscG/SsaH family type III secretion system needle protein co-chaperone	T3SS component	9824.61233122609	0.591383906623898	0.0687928664163299	0.574732175744522	0.0695128111847859	8.59658766135548	8.21214001208912e-18	9.2657948645076e-16	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS02520	ROD_05011	cof	NA	HMP-PP phosphatase	putative hydrolase	372.771100115652	-1.2861239228282	0.150547583490612	-1.25058026841747	0.152634020748423	-8.54297287945775	1.30812108545798e-17	1.45663899613615e-15	1.23493423677185	protein_coding	NA
NC_013716.1	ROD_RS14770	ROD_29991	sepD	NA	hypothetical protein	T3SS secretion switching protein SepD	2638.13960817908	0.677503088977073	0.0814076162875106	0.658973833562728	0.0823805122513313	8.32235508019677	8.6232522844726e-17	9.48797733053713e-15	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS14670	ROD_29751	espD	sctE	type III secretion system translocon subunit SctE	T3SS translocator protein EspD	260230.267996652	0.527939823689464	0.0653057079076044	0.514759015552659	0.0659689067118472	8.08412986559156	6.26095890990102e-16	4.92616557905164e-14	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS14710	ROD_29851	tir	NA	type III secretion system LEE translocated intimin receptor Tir	Tir, translocated intimin receptor	76855.1164920504	0.5205313428865	0.0641179328653128	0.506297751536341	0.064798575552272	8.11834255449154	4.72593294161165e-16	4.92616557905164e-14	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS15090	ROD_30671	nlpD	NA	murein hydrolase activator NlpD	lipoprotein	8458.2772466539	-0.597724486719486	0.0744457484197089	-0.580114820395207	0.0753572851526716	-8.02899425968083	9.82749556355137e-16	9.98121237577011e-14	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS15495	ROD_31431	lysM	NA	peptidoglycan-binding protein LysM	conserved hypothetical protein	515.623259846191	-1.04000271663392	0.131530529679797	-1.00680253657278	0.133576091282211	-7.90693019457719	2.63813455110674e-15	2.5301263140435e-13	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS14020	ROD_28371	sdaB	NA	L-serine ammonia-lyase II	L-serine dehydratase 2 (L-serine deaminase 2)	2034.34266611216	0.695667356865462	0.0887392209461592	0.678032883480499	0.0900212168992314	7.83945756395072	4.52496844906756e-15	4.24398552957613e-13	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS14665	ROD_29741	espB	NA	attachment protein EaeB	T3SS effector protein EspB	242818.237459068	0.507657100201864	0.0651571205794389	0.493552641202736	0.0660434647070195	7.79127585269723	6.6335909577616e-15	6.05905159902171e-13	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS14760	ROD_29971	sctI	NA	type III secretion system inner rod subunit SctI	T3SS component	12371.8194580623	0.499781462249316	0.0662809142317093	0.485389782911796	0.0670453516304711	7.54035257422892	4.68702504922176e-14	4.18151897544317e-12	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS22120	ROD_44861	bfr	NA	bacterioferritin	bacterioferritin	3524.89634160772	-0.582859879083838	0.077757125013054	-0.563592133580659	0.0788014502454745	-7.49590315981958	6.5843391869905e-14	5.37748105645313e-12	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS14720	ROD_29871	map	NA	T3SS effector protein Map	T3SS effector protein Map	4387.7980758567	0.53971271568545	0.0730540354497606	0.522249505066656	0.0739916267284226	7.38785629517497	1.49214879806849e-13	1.27205202188633e-11	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS14660	ROD_29731	cesD2	NA	hypothetical protein	T3SS chaperone CesD2	13469.4177235097	0.490135117868598	0.0666531161976033	0.473161120191319	0.0674568897208876	7.3535214229972	1.93052048589377e-13	1.66234679282821e-11	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS26460	ROD_29701	espF	NA	type III secretion system LEE effector EspF	T3SS effector protein EspF	51660.4865741359	0.457913152356839	0.0626186264146256	0.443974571934785	0.063317528327383	7.31273070930673	2.61767292913499e-13	2.14170534031042e-11	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS14725	ROD_29882	cesF	NA	type III secretion system chaperone	T3SS chaperone CesF	4297.42529339542	0.529988763678641	0.0734873458521261	0.511955812441788	0.0744643797622508	7.21197312997401	5.51468581454171e-13	4.41795952778853e-11	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS06335	ROD_12681	NA	NA	YeaH/YhbH family protein	conserved hypothetical protein	256.575056536474	-1.26375226550423	0.177023323187628	-1.21371477355539	0.180658403155237	-7.13890261886433	9.40789517146427e-13	7.48287378999346e-11	1.23493423677185	protein_coding	NA
NC_013716.1	ROD_RS14450	ROD_29211	NA	NA	hypothetical protein	putative fimbrial protein	212.192440324774	-1.35187373697091	0.190803638385225	-1.29675338785234	0.194693940977481	-7.08515701488632	1.3888674035368e-12	1.06815179998576e-10	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS20935	ROD_42491	cspA	NA	RNA chaperone/antiterminator CspA	cold shock protein	4081.34116199322	0.599800752924246	0.0857153304856166	0.576891892523552	0.0871751533817745	6.99759015716442	2.60402496169139e-12	1.50262067993835e-10	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS14750	ROD_29941	escV	NA	type III secretion system LEE export apparatus protein EscV	T3SS structural protein EscV	7109.66340317525	0.496315009736195	0.0706718934186041	0.478660464373826	0.0716157507290251	7.02280617835466	2.17455781077708e-12	1.65642837427893e-10	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS12720	ROD_25711	NA	NA	TolC family outer membrane protein	putative outer membrane efflux protein of T1SS	162.034686423089	-1.5234968012219	0.218035328108028	-1.45895242443144	0.222781530204659	-6.98738509232353	2.80056774671419e-12	1.89884529923845e-10	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS26475	ROD_29961	espZ	NA	SepZ/EspZ family type III secretion system protein	T3SS effector protein EspZ	7952.93139784062	0.475246090701294	0.0685526757264839	0.458614425308577	0.0694280854868998	6.93256806776534	4.13268582824791e-12	3.03140301432465e-10	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS06165	ROD_12311	NA	NA	DUF1471 domain-containing protein	putative exported protein	263.686138440209	-1.19598755634571	0.173630612924375	-1.14454105533034	0.177397055992679	-6.88811457957951	5.65366680234229e-12	3.99509994171889e-10	1.23838514528629	protein_coding	NA
NC_013716.1	ROD_RS09230	NA	NA	NA	YobF family protein	NA	478.562407765743	-0.934833679361383	0.137295631772902	-0.894478303551399	0.140243801488977	-6.80891057705079	9.83405789481881e-12	6.73374578338929e-10	1.23493423677185	protein_coding	NA
NC_013716.1	ROD_RS21060	ROD_42711	bcsE	NA	cellulose biosynthesis protein BcsE	conserved hypothetical protein	1594.44811809671	-0.602778977476668	0.0886829156396617	-0.579129426368896	0.0901905402658358	-6.79701352993278	1.06810070507952e-11	6.73374578338929e-10	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS21070	ROD_42731	bcsQ	NA	cellulose biosynthesis protein BcsQ	conserved hypothetical protein	1021.6077863622	-0.697295400629637	0.102928860208753	-0.667819517507919	0.104869457506835	-6.7745372795874	1.24805051097724e-11	7.73256428798028e-10	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS14730	ROD_29901	sepQ	NA	T3SS structural protein SepQ	T3SS structural protein SepQ	2465.38476897763	0.549459066414108	0.0827827989877898	0.526561585951289	0.0841579655939354	6.63735791894584	3.19355538449716e-11	1.59293052770701e-09	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS02740	ROD_05441	NA	NA	SPFH/Band 7/PHB domain protein	putative membrane protein	982.529184336889	-0.678969192114707	0.10245157932527	-0.64915504781164	0.104423033306906	-6.62722035703396	3.42066815024876e-11	1.67777642717638e-09	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS04010	ROD_07891	clsB	NA	cardiolipin synthase ClsB	putative phospholipase	113.293913557383	-1.72078751857409	0.25942319639104	-1.63953694022747	0.265670068468779	-6.6331289665411	3.28644420167144e-11	1.9360465651036e-09	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS23610	ROD_47811	espN2-2	NA	DUF4765 family protein	putative T3SS effector protein EspN2-2	790.463140797971	0.780609125215347	0.118863066413134	0.745357385179472	0.121498656345366	6.56729755315395	5.12365998439194e-11	2.43199684174922e-09	1.6354658006942	protein_coding	NA
NC_013716.1	ROD_RS09670	ROD_19551	ftnB	NA	non-heme ferritin-like protein	ferritin-like protein 2	242.25016821327	-1.16399904683469	0.180064854437867	-1.10696924512541	0.184546012545689	-6.46433225666667	1.01747092367548e-10	5.80364485070262e-09	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS15430	ROD_31301	proW	NA	glycine betaine/L-proline ABC transporter permease ProW	glycine betaine/L-proline ABC transporter,permease protein	2904.43685581373	-0.646295478075034	0.0998736195411254	-0.617822365367907	0.10210756379759	-6.47113302836597	9.72707490339841e-11	6.02015028800795e-09	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS12725	ROD_25721	NA	NA	ATP-binding cassette domain-containing protein	putative ATP-binding protein of T1SS	129.409920124075	-1.60635808509908	0.251094578557892	-1.52427977133779	0.258302032202012	-6.39742241479227	1.58021726589677e-10	8.73620500283485e-09	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS14740	ROD_29921	NA	NA	hypothetical protein	T3SS component	985.716665405746	0.739665722276444	0.115865788840482	0.70642576553913	0.118586779417567	6.38381466763048	1.7273012206069e-10	1.03664293302997e-08	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS06575	ROD_13171	osmE	NA	osmotically-inducible lipoprotein OsmE	osmotically inducible lipoprotein E	226.918646143895	-1.17404030335573	0.185909919987283	-1.11361959409389	0.190814063811477	-6.31510305332839	2.69981507460191e-10	1.56609947146369e-08	1.23838514528629	protein_coding	NA
NC_013716.1	ROD_RS21075	ROD_42741	bcsA	NA	UDP-forming cellulose synthase catalytic subunit	cellulose synthase catalytic subunit [UDP-forming]	1210.39676330872	-0.608236018855899	0.0967719594043883	-0.57937739342443	0.0987224727846602	-6.28525063044572	3.27325185969036e-10	1.85102679858565e-08	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS14655	ROD_29721	escF	sctF	type III secretion system needle filament subunit SctF	T3SS structural protein EscF	3228.5212029818	0.505999598858218	0.0808062896821287	0.483309987031609	0.0822270655730944	6.26188383167561	3.80354253837116e-10	2.11467893870876e-08	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS28255	ROD_29541	NA	NA	hypothetical protein	hypothetical protein	126.169665303693	1.86747032505253	0.299467873839347	1.76433988057913	0.313475225541953	6.23596214548995	4.49009678866568e-10	2.4607240603488e-08	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS07695	ROD_15441	treZ	NA	malto-oligosyltrehalose trehalohydrolase	putative hydrolase	145.624504455462	-1.41182942833248	0.227995911764558	-1.33460531690805	0.234435289861684	-6.19234536885215	5.92754913984222e-10	3.20859348445921e-08	1.23493423677185	protein_coding	NA
NC_013716.1	ROD_RS26470	ROD_29891	espH	NA	hypothetical protein	T3SS effector protein EspH	13261.0944223606	0.40217758942365	0.0650661405032398	0.382853502156633	0.0659191249531949	6.18105801747415	6.36734087078051e-10	3.20859348445921e-08	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS09625	ROD_19441	flhC	NA	flagellar transcriptional regulator FlhC	flagellar transcriptional activator	673.385761786495	0.756248233219658	0.122243559023484	0.717939487578643	0.125234739578364	6.18640556002115	6.1551530885883e-10	3.24233731646701e-08	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS26480	ROD_30011	cesD	NA	SycD/LcrH family type III secretion system chaperone	T3SS chaperone CesD	2450.62619734815	0.500139190473664	0.0810432833649217	0.474946563170258	0.0824859617546903	6.17126021686013	6.77478155430641e-10	3.51211582242198e-08	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS07690	ROD_15431	treY	NA	malto-oligosyltrehalose synthase	putative hydrolase	209.670838760542	-1.19059738652824	0.193045958939502	-1.12599725886899	0.198457105123781	-6.16742973056149	6.94089405907858e-10	3.55025383513172e-08	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS04015	ROD_07901	NA	NA	endonuclease/exonuclease/phosphatase family protein	putative endonuclease/exonuclease/phosphatase	70.8500457040534	-2.07200127649138	0.329896207328063	-1.96179690638582	0.338724058475594	-6.28076719424328	3.36906320149313e-10	4.22815539662675e-08	0.504615384615385	protein_coding	NA
NC_013716.1	ROD_RS04910	ROD_09611	NA	NA	hydrolase	putative isochorismatase	182.151059832559	-1.2538191820518	0.204876383230314	-1.18449341490691	0.210746094393486	-6.11988147331897	9.36449871135639e-10	4.67787165264346e-08	1.23838514528629	protein_coding	NA
NC_013716.1	ROD_RS14785	ROD_30051	grlA	NA	CaiF/GrlA family transcriptional regulator	GrlA, global regulator of LEE activator	993.703832884134	0.637443452710051	0.104195158770649	0.605377966005876	0.106524510649626	6.11778378411199	9.48856875206329e-10	4.67787165264346e-08	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS21050	ROD_42691	bcsG	NA	cellulose biosynthesis protein BcsG	putative membrane protein	1013.8125602802	-0.619265034835814	0.101352298157666	-0.587971799889908	0.103552495921828	-6.1100245982826	9.96157850889557e-10	4.84890043438599e-08	1.25162337662338	protein_coding	NA
NC_013716.1	ROD_RS28585	NA	NA	NA	hypothetical protein	NA	89.3885266689958	-1.91779551102546	0.306859570409461	-1.81314484231922	0.316851346296902	-6.24974970950535	4.11110964110862e-10	4.93068396150322e-08	0.501623376623377	protein_coding	NA
NC_013716.1	ROD_RS05395	ROD_10641	wrbA	NA	NAD(P)H:quinone oxidoreductase	flavoprotein (Trp repressor-binding protein)	147.911312393114	-1.35409451220125	0.224295416267608	-1.27677151360409	0.23091801254975	-6.03710291870464	1.5690565683575e-09	6.96102114354918e-08	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS07905	ROD_15871	NA	NA	virulence factor SrfB	putative virulence effector protein	186.052574882531	1.22703957832863	0.203074926675499	1.15824332921722	0.209002593049767	6.04229974825678	1.51932862347429e-09	7.10792964380393e-08	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS27785	ROD_47771	lifA3	NA	DUF3491 domain-containing protein	LifA-like protein	6727.30195541685	0.413926499699972	0.0698636185360364	0.394343942103103	0.0709111365764988	5.92477899618761	3.12717665983323e-09	1.35392215266363e-07	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS20215	NA	NA	NA	inverse autotransporter beta-barrel domain-containing protein	NA	311.711844370648	0.954588138281559	0.16155084319546	0.899631748146103	0.166281696343071	5.9089022341196	3.4439500791147e-09	1.59789998346761e-07	1.23493423677185	protein_coding	NA
NC_013716.1	ROD_RS08645	ROD_17451	NA	NA	general stress protein	conserved hypothetical protein	28.378621830075	-3.99217442255842	0.661158785470828	-3.76203384807029	0.669309282600356	-6.0381477343835	1.55893309531501e-09	1.74929850862203e-07	0.504615384615385	protein_coding	NA
NC_013716.1	ROD_RS23645	ROD_47901	NA	NA	DUF1090 domain-containing protein	putative exported protein	531.469269611417	-0.755447881074245	0.128566146432973	-0.712260123912338	0.13201937550288	-5.87594714498261	4.20432466398179e-09	1.75677913508188e-07	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS10000	ROD_20181	fliF	NA	flagellar M-ring protein FliF	flagellar M-ring protein	63.4907766274758	2.36862689898591	0.397200852851348	2.22427764560402	0.415464938346022	5.96329761626258	2.47197577751686e-09	2.71006890284995e-07	0.504615384615385	protein_coding	NA
NC_013716.1	ROD_RS21085	ROD_42761	bcsZ	NA	cellulase	endo-1,4-beta-glucanase (cellulase)	923.907212465573	-0.606472672483189	0.105410714452537	-0.570215956103358	0.108031135753881	-5.7534253100643	8.74530961867061e-09	3.93638496800603e-07	1.21509662524835	protein_coding	NA
NC_013716.1	ROD_RS07735	ROD_15531	osmC	NA	peroxiredoxin OsmC	peroxiredoxin (osmotically-inducible protein C)	114.220113717555	-1.5550266870386	0.273099917278533	-1.4546530460642	0.283978263635475	-5.69398446742344	1.24108379865796e-08	5.34953893304787e-07	1.25461538461538	protein_coding	NA
NC_013716.1	ROD_RS28030	ROD_12081	espN1	espN	type III secretion system effector EspN	pseudogene	609.466896329624	0.679522542232135	0.120999924158867	0.641460341813156	0.124293585159893	5.61589229874191	1.9555044277678e-08	8.35523154846723e-07	1.25162337662338	pseudogene	frameshifted
NC_013716.1	ROD_RS10035	ROD_20251	fliM	NA	flagellar motor switch protein FliM	flagellar motor switch protein FliM	62.8743293649742	2.04678356205005	0.35663875080229	1.9159041517952	0.36896663887654	5.73909469300695	9.51839906432692e-09	1.00359990373445e-06	0.501623376623377	protein_coding	NA
NC_013716.1	ROD_RS27605	ROD_29811	NA	NA	IS256 family transposase	pseudogene	1798.83693666927	0.524015607818632	0.0943031021462294	0.493095011483206	0.0965660150003664	5.55671654370475	2.74896629903895e-08	1.18355006957738e-06	1.21509662524835	pseudogene	frameshifted
NC_013716.1	ROD_RS14745	ROD_29931	escN	NA	type III secretion system LEE ATPase EscN	T3SS translocator EscN	4683.7301931503	0.397660888478817	0.0718669556671959	0.377496689515056	0.0729848514321593	5.53329252348353	3.14274682591161e-08	1.21435542802954e-06	1.33935742971888	protein_coding	NA
NC_013716.1	ROD_RS09060	ROD_18301	NA	NA	SpoVR family protein	conserved hypothetical protein	184.346261122991	-1.11342271813977	0.201418626064392	-1.03771404497582	0.208540857691184	-5.52790345111292	3.24080308772853e-08	1.34368299522718e-06	1.23493423677185	protein_coding	NA
